ID,Latitude,Longitude,Name
phuz1235,23.05,103.4,Phuza
phup1239,23.0,103.4,Phupa
alug1235,23.0,103.0,Alugu
phup1237,22.95,102.3,Phupha
azha1235,23.9,104.15,Azha
axiy1235,24.6009,103.713,Axi Yi
azhe1235,24.405,103.441,Azhe
sani1269,24.278,103.759,Sani
sout2719,22.909678,103.101616,Awu
lawu1238,24.133878,101.498795,Lawu
buyu1238,22.0,101.08,Buyuan Jinuo
youl1235,22.0473,101.057,Youle Jinuo
cosa1234,21.616667,101.566667,Cosao
sila1247,21.6888,102.134,Sila
phan1254,21.9387,101.978,Phana'
phun1245,20.7996,100.957,Phunoi
coon1239,22.3311,102.759,Côông
sang1320,21.64,100.77,Sangkong
pyen1239,20.759,100.029,Pyen
bisu1244,20.8542,99.9862,Bisu
laom1237,21.95,100.1,Laomian
cauh1234,22.033922,102.046105,Cauho
bant1298,21.725278,102.06,Bantang
biyo1243,22.511,101.652,Biyo
mpii1239,18.1717,100.21,Mpi
kadu1253,22.2996,101.74,Kaduo
enuu1235,22.95,101.85,Enu
honi1244,23.2074,101.886,Honi
muda1235,21.95,100.6,Muda
akha1245,21.2309,100.964,Akha
akeu1235,22.1959,101.0823,Akeu
chep1243,22.1749,101.7501,Chepya
hani1248,22.67753,102.851673333,Hani
zauz1238,26.4572,98.8634,Zauzou
nusu1239,26.7292,98.8801,Nusu
inth1238,20.392,96.9388,Intha-Danu
tavo1242,14.1078,98.194,Tavoyan
nucl1310,20.7926,93.9665,Burmese
rakh1245,20.527429,93.145906,Rakhine
marm1234,22.759948,92.210748,Marma
oldb1235,21.161961,94.897306,Old Burmese
taun1248,20.4104,96.7401,Taungyo
acha1249,24.3479,97.7438,Longchuan Achang
lian1258,24.750556,98.303056,Lianghe Achang
luxi1238,24.45,98.6,Luxi Achang
ngoc1235,25.35,97.433333,Ngochang
chas1234,26.1,98.75,Chashan
lash1243,26.0992,98.5481,Lashi
maru1249,24.942535,99.8338,Maru
pela1242,24.2142,97.9183,Pela
zaiw1241,24.1726,98.3643,Zaiwa
hpon1238,24.4606,97.1142,Hpon
maza1306,23.546095,105.516304,Maza
mang1429,23.742269,105.431392,Mango (China)
maan1239,23.555104,105.70091,Maang
muan1234,23.631962,105.182285,Muangphe
mond1267,23.446095,105.416304,Mondzi
mant1265,23.1829,105.405,Mantsi
kath1251,24.2,105.1,Thou-Kathu
ugon1239,14.2408,100.098,Ugong
pail1244,31.8,103.5,Pai-lang
nort2724,26.925,99.656,Northern Bai
cent2004,26.1666,99.7052,Central Bai
sout2730,25.519,100.289,Southern Bai
long1417,26.4,105.233333,Longjia
lure1234,27.285,105.664,Luren
caij1234,27.284,105.292,Caijia
bang1369,27.95,93.15,Bangru
saja1240,27.57952,92.77,Sajolang
gong1251,27.066,91.1686,Gongduk
anuu1241,21.5,93.05,Anu-Hkongso
mruu1242,24.154,90.6317,Mru
rawa1264,30.0742,80.8005,Rawat
raut1239,28.9518,81.1617,Raute
raji1240,28.6151,81.577,Raji
chai1254,24.30438,93.866431,Chairel
maky1235,26.3037,95.6045,Makyan Naga
lein1237,26.4481,95.4,Leinong Naga
khia1236,26.20076,95.016799,Khiamniungan Naga
wanc1238,26.2581,94.8936,Wancho Naga
phom1236,26.4715,94.7476,Phom Naga
chan1313,26.4336,94.9536,Chang Naga
kony1248,26.6823,95.0598,Konyak Naga
pont1258,27.442461,96.772761,Ponthai
nahe1238,27.238106,96.038901,Nahenic
mukl1234,27.626127,96.427282,Muklomic
tase1235,27.2572,96.3855,Pangwa Naga
tikh1243,27.381782,96.024393,Tikhakic
noct1238,27.152,95.3903,Nocte Naga
tuts1235,27.161,95.8,Tutsa Naga
burm1262,21.31928,95.897864,Burma Pyu
tama1328,25.1566,95.1171,Taman (Myanmar)
chak1270,21.4134,92.5953,Chak
seng1275,24.945633,93.881401,Sengmai
andr1246,24.754303,94.033796,Andro
phay1241,24.84615,93.81704,Phayeng
kado1242,21.5259,100.092,Kado
sing1264,27.296,95.606,Northern Jinghpaw
kach1280,25.4634,97.3278,Southern Jinghpaw
koch1250,25.7962,90.2566,Koch
rabh1238,25.8248,91.1689,Rabha
aton1241,25.346508,90.658722,Atong (India)
ruga1238,25.506,91.469,Ruga
garo1247,25.2954,90.462,Garo
tiwa1253,26.0667,92.2583,Tiwa (India)
bodo1269,26.1,92.0,Bodo-Mech
kach1279,26.6882,92.317,Kachari
dima1251,25.4198,93.1806,Dimasa
kokb1239,23.1916,91.4673,Kok Borok
tipp1239,23.5864,92.0747,Tippera
usui1238,23.0131,91.7879,Usui
rian1262,23.6803,92.0321,Riang (India)
deor1238,26.86152,93.70572,Deori
darm1243,29.8629,80.5439,Darma
zhan1239,31.066667,81.3125,Zhangzhung
byan1241,29.92002,80.63653,Byangsi
chau1259,29.7033,80.4832,Chaudangsi
rang1266,29.2278,80.0845,Rangkas
suna1241,31.808,78.4513,Sunam
rong1264,30.528,79.567,Rongpo
gahr1239,32.2168,77.9596,Bunan
patt1248,32.6963,76.5966,Pattani
tina1246,32.2852,77.9912,Tinani
kana1283,32.2843,77.1553,Kanashi
shum1243,31.6862,78.3865,Shumcho
jang1254,31.5666,78.4344,Jangshung
kinn1249,31.3688,78.3148,Kinnauri
chit1279,31.2965,78.5287,Chhitkul-Rakchham
basu1243,29.986842,93.881454,Basum
kala1376,27.073067,92.142965,Kalaktang Monpa
tsha1245,27.3694,91.7741,Tshangla
dakp1242,27.3762,91.8245,Dakpakha
dzal1238,27.7855,91.374,Dzalakha
kurt1248,27.5365,90.9822,Kurtokha
bumt1240,27.6494,90.8037,Bumthangkha
khen1241,27.0879,90.8633,Khengkha
chal1267,27.3231,91.262,Chalikha
nyen1254,27.3732,90.3947,Upper Mangdep
olek1239,27.2079,90.5546,Olekha
clas1254,29.24,92.01,Classical Tibetan
balt1258,34.4491,77.2859,Balti
puri1258,34.3386,76.0127,Purik-Sham-Nubra
lada1244,33.468,80.6013,Leh Ladakhi
chan1309,34.0662,78.2389,Changthang
zang1248,33.2397,77.4013,Zangskari
amdo1237,34.5177,100.485,Amdo Tibetan
gser1236,31.90336,100.8677,Gser-Rdo
zhon1235,32.43582,103.44179,Zhongu
chon1285,27.7552,99.8255,Choni
baim1244,33.1001,103.952,Baima
brok1249,27.6544,90.648,Dur Brokkat
brok1248,27.3438,91.9972,Brokpake
kham1283,28.9930167,94.89439116,Khamba
lakh1240,27.6325,90.3336,Lakha
choc1275,27.46961,91.21954,Chocangacakha
sikk1242,27.85795,88.59153,Sikkimese
luna1243,28.1288,90.1257,Lunanakha
laya1253,28.0499,89.7177,Layakha
dzon1239,27.410786,89.581604,Dzongkha
grom1238,27.6089,88.8541,Groma
tibe1272,28.3681,90.1872,Tibetan
huml1238,30.1451,81.5659,Humla
sher1255,27.674,86.9994,Solu-Khumbu Sherpa
naab1241,27.6926,87.3409,Naaba
jire1238,27.6931,86.3201,Jirel
dolp1239,29.1957,83.2927,Dolpo
tich1238,28.9506,83.4672,Tichurong
lhom1239,27.5948,87.7161,Lhomi
lowa1242,29.0324,83.8959,Lowa
mugo1238,30.8983,79.4664,Mugom
walu1241,27.695,87.2374,Walungge
kaga1252,27.4492,86.1675,Kagate
hela1238,27.9212,85.6289,Lamjung-Melamchi Yolmo
tsum1240,28.4719,85.0817,Tsum
nubr1241,28.5092,84.7772,Gyalsumdo-Nubri
kyer1238,28.2922,85.4257,Kyerung
stod1241,32.497,77.116,Stod Bhoti
spit1240,32.526,77.833,Spiti Bhoti
jadd1243,30.241,79.153,Jad
bhot1235,31.8503,78.5728,Bhoti Kinnauri
kham1282,31.9313,91.7062,Khams Tibetan
tsek1238,27.8046,89.1931,Tseku
kaik1246,28.853,83.1384,Kaike
sout2715,28.106,84.8511,Southern Ghale
nort2709,28.2332,84.929,Northern Ghale
kuta1241,28.3808,84.93,Kutang Ghale
west2415,28.0239,85.0563,Western Tamang
east2347,27.3239,87.0832,Eastern Tamang
east2346,28.2213,84.9451,Eastern Gorkha Tamang
guru1261,27.41687,86.28988,Gurung
narp1239,28.76714,84.22852,Nar Phu
mana1288,28.6416,84.0515,Manange
chan1310,28.684,83.4488,Chantyal
thak1245,28.7014,83.6466,Thakali
seke1240,28.9251,83.8064,Seke (Nepal)
dhim1246,26.6283,88.3798,Dhimal
toto1302,26.67,88.975,Toto
idum1241,29.4473,95.6472,Idu
diga1241,28.4993,96.8803,Tawra
zakh1243,28.129,97.022,Zakhring
miju1243,28.4732,97.0444,Kman
bori1243,27.62812,94.3538,Bori-Karko
misi1242,27.418,94.69,Mising-Padam-Miri-Minyong
tang1377,28.95,94.98,Tangam
damu1236,29.483,95.5,Damu
boka1249,28.61433,94.066429,Bokar-Ramo
nyis1236,27.278263,93.675529,Nyishi-Hill Miri
naaa1245,28.431524,93.248908,Na
tagi1241,27.986064,94.221711,Tagin
galo1242,27.9805586,94.6884956,Galo
apat1240,27.1933,93.7284,Apatani
mila1245,28.5539908,95.186127,Milang
koro1316,27.214804,92.633011,Koro
maon1238,25.3836,94.0035,Mao Naga
poum1235,25.1944,94.4618,Poumei Naga
chok1243,25.5636,94.2887,Chokri Naga
anga1288,25.6841,93.8668,Angami Naga
khez1235,25.7078,94.3114,Khezha Naga
poch1243,25.4478,94.1119,Pochuri Naga
nort2725,26.4492,94.5683,Northern Rengma Naga
sumi1235,25.9996,94.4235,Sumi Naga
sout2732,26.1178,94.6853,Southern Rengma Naga
long1375,25.5578,94.9838,Long Phuri Naga
maku1273,26.6,94.95,Makuri Naga
para1302,26.2072,95.1618,Jejara Naga
yimc1240,25.7675,94.8087,Yimchungru Naga
aona1235,26.3241,94.3824,Ao Naga
loth1237,26.01396,94.04355,Lotha Naga
sang1321,25.8581,94.6279,Sangtam Naga
mani1292,24.4409,93.3426,Manipuri
sumt1234,20.1238,93.8367,Sumtu Chin
asho1236,21.393,93.5069,Asho Chin
munc1235,20.289,94.3929,Mün Chin
daai1236,20.7347,93.7853,Daai Chin
kaan1248,21.5091,93.6262,Kaang Chin
ngal1291,23.312,92.83,Nga La
chin1478,20.0776,94.0506,Chinbon Chin
reng1255,21.710864,92.367939,Rengmitca
khum1248,22.87125,92.9894633333,Khumi Chin
mroc1235,19.71,93.995,Mro Chin
east2779,21.3425,93.155,Eastern Khumi Chin
pait1244,24.0381,93.6136,Paite Chin
thad1238,24.096,93.722,Thado Chin
ralt1242,25.0201,94.7381,Ralte
khar1288,25.2738,94.0503,Kharam Naga
tedi1235,23.6079,93.519,Tedim Chin
puru1266,25.3887,95.0935,Purum
zouu1235,24.0649,93.9253,Zou
simt1238,24.5444,93.3265,Simte
ngaw1239,21.93031,93.58348,Ngawn Chin
siyi1240,23.8192,93.6884,Sizang Chin
vaip1239,24.1378,93.7195,Vaiphei
gang1266,24.5113,94.1681,Gangte
pank1249,22.4124,92.4581,Pangkhua
biet1238,24.273507,92.94342,Biete
saka1283,25.994,93.949,Sakachep-Chorei
hran1239,24.4559,93.351,Hrangkhol
hmar1241,24.7534,93.5497,Hmar
syri1242,24.9437,92.9029,Syriem
darl1242,23.992,91.3339,Darlong
lush1249,22.6138,92.6247,Mizo
tawr1235,22.4996,94.0957,Laamtuk Thet
fala1243,23.7892833333,92.3254633333,Falam Chin
bual1235,22.91,93.68,Bualkhaw Chin
bawm1236,22.4405233333,92.92553,Bawm Chin
haka1240,22.8735,92.8208,Haka Chin
zotu1235,22.5298,93.29,Zotung Chin
laut1236,22.2009,93.4448,Lautu
mara1382,22.1138,93.0387,Mara Chin
zyph1238,22.524,93.264,Zyphe
shen1247,22.1901,92.591,Shendu
sent1260,21.8936,93.8087,Senthang Chin
tara1313,24.4003,94.1703,Tarao
chot1239,24.3722,94.2408,Chothe
sorb1250,24.7473696,94.315422,Sorbung
aimo1244,24.6437,94.3556,Aimol
koir1240,25.2857,94.2141,Koireng
lamk1238,24.1523,94.2706,Lamkang
